"Card Set,Card Number,Player,Team,Print Run"
"All-Stars,1,Kobe Bryant,Los Angeles Lakers,"
"All-Stars,2,Larry Bird,Boston Celtics,"
"All-Stars,3,Magic Johnson,Los Angeles Lakers,"
"All-Stars,4,Shaquille O'Neal,Los Angeles Lakers,"
"All-Stars,5,Grant Hill,Detroit Pistons,"
"All-Stars,6,Scottie Pippen,Chicago Bulls,"
"All-Stars,7,Isiah Thomas,Detroit Pistons,"
"All-Stars,8,Allen Iverson,Philadelphia 76ers,"
"All-Stars,9,Wilt Chamberlain,San Francisco Warriors,"
"All-Stars,10,Steve Nash,Phoenix Suns,"
"All-Stars,11,Dwyane Wade,Miami Heat,"
"All-Stars,12,Kyle Lowry,Toronto Raptors,"
"All-Stars,13,LeBron James,Cleveland Cavaliers,"
"All-Stars,14,Paul George,Indiana Pacers,"
"All-Stars,15,Carmelo Anthony,New York Knicks,"
"All-Stars,16,John Wall,Washington Wizards,"
"All-Stars,17,Paul Millsap,Atlanta Hawks,"
"All-Stars,18,DeMar DeRozan,Toronto Raptors,"
"All-Stars,19,Andre Drummond,Detroit Pistons,"
"All-Stars,20,Isaiah Thomas,Boston Celtics,"
"All-Stars,21,Stephen Curry,Golden State Warriors,"
"All-Stars,22,Russell Westbrook,Oklahoma City Thunder,"
"All-Stars,23,Kobe Bryant,Los Angeles Lakers,"
"All-Stars,24,Kevin Durant,Oklahoma City Thunder,"
"All-Stars,25,Kawhi Leonard,San Antonio Spurs,"
"All-Stars,26,Chris Paul,Los Angeles Clippers,"
"All-Stars,27,LaMarcus Aldridge,San Antonio Spurs,"
"All-Stars,28,James Harden,Houston Rockets,"
"All-Stars,29,Anthony Davis,New Orleans Pelicans,"
"All-Stars,30,Draymond Green,Golden State Warriors,"
"All-Stars Press Proof,1,Kobe Bryant,Los Angeles Lakers,"
"All-Stars Press Proof,2,Larry Bird,Boston Celtics,"
"All-Stars Press Proof,3,Magic Johnson,Los Angeles Lakers,"
"All-Stars Press Proof,4,Shaquille O'Neal,Los Angeles Lakers,"
"All-Stars Press Proof,5,Grant Hill,Detroit Pistons,"
"All-Stars Press Proof,6,Scottie Pippen,Chicago Bulls,"
"All-Stars Press Proof,7,Isiah Thomas,Detroit Pistons,"
"All-Stars Press Proof,8,Allen Iverson,Philadelphia 76ers,"
"All-Stars Press Proof,9,Wilt Chamberlain,San Francisco Warriors,"
"All-Stars Press Proof,10,Steve Nash,Phoenix Suns,"
"All-Stars Press Proof,11,Dwyane Wade,Miami Heat,"
"All-Stars Press Proof,12,Kyle Lowry,Toronto Raptors,"
"All-Stars Press Proof,13,LeBron James,Cleveland Cavaliers,"
"All-Stars Press Proof,14,Paul George,Indiana Pacers,"
"All-Stars Press Proof,15,Carmelo Anthony,New York Knicks,"
"All-Stars Press Proof,16,John Wall,Washington Wizards,"
"All-Stars Press Proof,17,Paul Millsap,Atlanta Hawks,"
"All-Stars Press Proof,18,DeMar DeRozan,Toronto Raptors,"
"All-Stars Press Proof,19,Andre Drummond,Detroit Pistons,"
"All-Stars Press Proof,20,Isaiah Thomas,Boston Celtics,"
"All-Stars Press Proof,21,Stephen Curry,Golden State Warriors,"
"All-Stars Press Proof,22,Russell Westbrook,Oklahoma City Thunder,"
"All-Stars Press Proof,23,Kobe Bryant,Los Angeles Lakers,"
"All-Stars Press Proof,24,Kevin Durant,Oklahoma City Thunder,"
"All-Stars Press Proof,25,Kawhi Leonard,San Antonio Spurs,"
"All-Stars Press Proof,26,Chris Paul,Los Angeles Clippers,"
"All-Stars Press Proof,27,LaMarcus Aldridge,San Antonio Spurs,"
"All-Stars Press Proof,28,James Harden,Houston Rockets,"
"All-Stars Press Proof,29,Anthony Davis,New Orleans Pelicans,"
"All-Stars Press Proof,30,Draymond Green,Golden State Warriors,"
"All-Stars Press Proof Black,1,Kobe Bryant,Los Angeles Lakers,1"
"All-Stars Press Proof Black,2,Larry Bird,Boston Celtics,1"
"All-Stars Press Proof Black,3,Magic Johnson,Los Angeles Lakers,1"
"All-Stars Press Proof Black,4,Shaquille O'Neal,Los Angeles Lakers,1"
"All-Stars Press Proof Black,5,Grant Hill,Detroit Pistons,1"
"All-Stars Press Proof Black,6,Scottie Pippen,Chicago Bulls,1"
"All-Stars Press Proof Black,7,Isiah Thomas,Detroit Pistons,1"
"All-Stars Press Proof Black,8,Allen Iverson,Philadelphia 76ers,1"
"All-Stars Press Proof Black,9,Wilt Chamberlain,San Francisco Warriors,1"
"All-Stars Press Proof Black,10,Steve Nash,Phoenix Suns,1"
"All-Stars Press Proof Black,11,Dwyane Wade,Miami Heat,1"
"All-Stars Press Proof Black,12,Kyle Lowry,Toronto Raptors,1"
"All-Stars Press Proof Black,13,LeBron James,Cleveland Cavaliers,1"
"All-Stars Press Proof Black,14,Paul George,Indiana Pacers,1"
"All-Stars Press Proof Black,15,Carmelo Anthony,New York Knicks,1"
"All-Stars Press Proof Black,16,John Wall,Washington Wizards,1"
"All-Stars Press Proof Black,17,Paul Millsap,Atlanta Hawks,1"
"All-Stars Press Proof Black,18,DeMar DeRozan,Toronto Raptors,1"
"All-Stars Press Proof Black,19,Andre Drummond,Detroit Pistons,1"
"All-Stars Press Proof Black,20,Isaiah Thomas,Boston Celtics,1"
"All-Stars Press Proof Black,21,Stephen Curry,Golden State Warriors,1"
"All-Stars Press Proof Black,22,Russell Westbrook,Oklahoma City Thunder,1"
"All-Stars Press Proof Black,23,Kobe Bryant,Los Angeles Lakers,1"
"All-Stars Press Proof Black,24,Kevin Durant,Oklahoma City Thunder,1"
"All-Stars Press Proof Black,25,Kawhi Leonard,San Antonio Spurs,1"
"All-Stars Press Proof Black,26,Chris Paul,Los Angeles Clippers,1"
"All-Stars Press Proof Black,27,LaMarcus Aldridge,San Antonio Spurs,1"
"All-Stars Press Proof Black,28,James Harden,Houston Rockets,1"
"All-Stars Press Proof Black,29,Anthony Davis,New Orleans Pelicans,1"
"All-Stars Press Proof Black,30,Draymond Green,Golden State Warriors,1"
"All-Stars Press Proof Blue,1,Kobe Bryant,Los Angeles Lakers,99"
"All-Stars Press Proof Blue,2,Larry Bird,Boston Celtics,99"
"All-Stars Press Proof Blue,3,Magic Johnson,Los Angeles Lakers,99"
"All-Stars Press Proof Blue,4,Shaquille O'Neal,Los Angeles Lakers,99"
"All-Stars Press Proof Blue,5,Grant Hill,Detroit Pistons,99"
"All-Stars Press Proof Blue,7,Isiah Thomas,Detroit Pistons,99"
"All-Stars Press Proof Blue,8,Allen Iverson,Philadelphia 76ers,99"
"All-Stars Press Proof Blue,9,Wilt Chamberlain,San Francisco Warriors,99"
"All-Stars Press Proof Blue,10,Steve Nash,Phoenix Suns,99"
"All-Stars Press Proof Blue,11,Dwyane Wade,Miami Heat,99"
"All-Stars Press Proof Blue,12,Kyle Lowry,Toronto Raptors,99"
"All-Stars Press Proof Blue,13,LeBron James,Cleveland Cavaliers,99"
"All-Stars Press Proof Blue,14,Paul George,Indiana Pacers,99"
"All-Stars Press Proof Blue,15,Carmelo Anthony,New York Knicks,99"
"All-Stars Press Proof Blue,16,John Wall,Washington Wizards,99"
"All-Stars Press Proof Blue,17,Paul Millsap,Atlanta Hawks,99"
"All-Stars Press Proof Blue,18,DeMar DeRozan,Toronto Raptors,99"
"All-Stars Press Proof Blue,19,Andre Drummond,Detroit Pistons,99"
"All-Stars Press Proof Blue,20,Isaiah Thomas,Boston Celtics,99"
"All-Stars Press Proof Blue,21,Stephen Curry,Golden State Warriors,99"
"All-Stars Press Proof Blue,22,Russell Westbrook,Oklahoma City Thunder,99"
"All-Stars Press Proof Blue,23,Kobe Bryant,Los Angeles Lakers,99"
"All-Stars Press Proof Blue,24,Kevin Durant,Oklahoma City Thunder,99"
"All-Stars Press Proof Blue,25,Kawhi Leonard,San Antonio Spurs,99"
"All-Stars Press Proof Blue,26,Chris Paul,Los Angeles Clippers,99"
"All-Stars Press Proof Blue,27,LaMarcus Aldridge,San Antonio Spurs,99"
"All-Stars Press Proof Blue,28,James Harden,Houston Rockets,99"
"All-Stars Press Proof Blue,29,Anthony Davis,New Orleans Pelicans,99"
"All-Stars Press Proof Blue,30,Draymond Green,Golden State Warriors,99"
"Back to the Future Materials,1,Brandon Jennings,Detroit Pistons,199"
"Back to the Future Materials,2,Pau Gasol,Los Angeles Lakers,199"
"Back to the Future Materials,3,Chris Paul,New Orleans Hornets,199"
"Back to the Future Materials,4,Carmelo Anthony,Denver Nuggets,150"
"Back to the Future Materials,5,Markieff Morris,Phoenix Suns,199"
"Back to the Future Materials,6,Rajon Rondo,Boston Celtics,199"
"Back to the Future Materials,7,Vince Carter,Dallas Mavericks,199"
"Back to the Future Materials,8,Kevin Garnett,Brooklyn Nets,199"
"Back to the Future Materials,9,Reggie Jackson,Oklahoma City Thunder,199"
"Back to the Future Materials,10,Wesley Matthews,Portland Trail Blazers,199"
"Back to the Future Materials,11,LaMarcus Aldridge,Portland Trail Blazers,199"
"Back to the Future Materials,12,Monta Ellis,Dallas Mavericks,199"
"Back to the Future Materials,13,Paul Pierce,Boston Celtics,199"
"Back to the Future Materials,14,Danilo Gallinari,New York Knicks,199"
"Back to the Future Materials,15,LeBron James,Miami Heat,199"
"Back to the Future Materials Prime,1,Brandon Jennings,Detroit Pistons,10"
"Back to the Future Materials Prime,2,Pau Gasol,Los Angeles Lakers,10"
"Back to the Future Materials Prime,3,Chris Paul,New Orleans Hornets,10"
"Back to the Future Materials Prime,4,Carmelo Anthony,Denver Nuggets,3"
"Back to the Future Materials Prime,5,Markieff Morris,Phoenix Suns,10"
"Back to the Future Materials Prime,6,Rajon Rondo,Boston Celtics,10"
"Back to the Future Materials Prime,7,Vince Carter,Dallas Mavericks,10"
"Back to the Future Materials Prime,8,Kevin Garnett,Brooklyn Nets,10"
"Back to the Future Materials Prime,9,Reggie Jackson,Oklahoma City Thunder,10"
"Back to the Future Materials Prime,10,Wesley Matthews,Portland Trail Blazers,10"
"Back to the Future Materials Prime,11,LaMarcus Aldridge,Portland Trail Blazers,10"
"Back to the Future Materials Prime,12,Monta Ellis,Dallas Mavericks,10"
"Back to the Future Materials Prime,13,Paul Pierce,Boston Celtics,10"
"Back to the Future Materials Prime,14,Danilo Gallinari,New York Knicks,10"
"Back to the Future Materials Prime,15,LeBron James,Miami Heat,10"
"Base,1,Joel Embiid,Philadelphia 76ers,"
"Base,2,Jahlil Okafor,Philadelphia 76ers,"
"Base,3,Nerlens Noel,Philadelphia 76ers,"
"Base,4,T.J. McConnell,Philadelphia 76ers,"
"Base,5,Giannis Antetokounmpo,Milwaukee Bucks,"
"Base,6,Jabari Parker,Milwaukee Bucks,"
"Base,7,Khris Middleton,Milwaukee Bucks,"
"Base,8,Matthew Dellavedova,Milwaukee Bucks,"
"Base,9,John Henson,Milwaukee Bucks,"
"Base,10,Jimmy Butler,Chicago Bulls,"
"Base,11,Rajon Rondo,Chicago Bulls,"
"Base,12,Dwyane Wade,Chicago Bulls,"
"Base,13,Nikola Mirotic,Chicago Bulls,"
"Base,14,Bobby Portis,Chicago Bulls,"
"Base,15,LeBron James,Cleveland Cavaliers,"
"Base,16,Kevin Love,Cleveland Cavaliers,"
"Base,17,Kyrie Irving,Cleveland Cavaliers,"
"Base,18,Richard Jefferson,Cleveland Cavaliers,"
"Base,19,Tristan Thompson,Cleveland Cavaliers,"
"Base,20,Isaiah Thomas,Boston Celtics,"
"Base,21,Avery Bradley,Boston Celtics,"
"Base,22,Al Horford,Boston Celtics,"
"Base,23,Marcus Smart,Boston Celtics,"
"Base,24,Jordan Mickey,Boston Celtics,"
"Base,25,Chris Paul,Los Angeles Clippers,"
"Base,26,DeAndre Jordan,Los Angeles Clippers,"
"Base,27,Blake Griffin,Los Angeles Clippers,"
"Base,28,Jamal Crawford,Los Angeles Clippers,"
"Base,29,J.J. Redick,Los Angeles Clippers,"
"Base,30,Mike Conley,Memphis Grizzlies,"
"Base,31,Chandler Parsons,Memphis Grizzlies,"
"Base,32,Marc Gasol,Memphis Grizzlies,"
"Base,33,Zach Randolph,Memphis Grizzlies,"
"Base,34,Dennis Schroder,Atlanta Hawks,"
"Base,35,Paul Millsap,Atlanta Hawks,"
"Base,36,Dwight Howard,Atlanta Hawks,"
"Base,37,Kent Bazemore,Atlanta Hawks,"
"Base,38,Kyle Korver,Atlanta Hawks,"
"Base,39,Justise Winslow,Miami Heat,"
"Base,40,Josh Richardson,Miami Heat,"
"Base,41,Goran Dragic,Miami Heat,"
"Base,42,Chris Bosh,Miami Heat,"
"Base,43,Hassan Whiteside,Miami Heat,"
"Base,44,Kemba Walker,Charlotte Hornets,"
"Base,45,Nicolas Batum,Charlotte Hornets,"
"Base,46,Frank Kaminsky,Charlotte Hornets,"
"Base,47,Jeremy Lamb,Charlotte Hornets,"
"Base,48,Aaron Harrison,Charlotte Hornets,"
"Base,49,Alec Burks,Utah Jazz,"
