set_name,card_number,player_name,team
2015 Flawless Extras,17,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,18,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,19,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,20,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,21,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,22,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,23,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,24,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,25,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,26,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,27,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,28,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,29,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,30,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,31,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,32,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,33,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,34,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,35,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,36,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,37,Dennis Schroder,Atlanta Hawks
2015 Flawless Extras,38,Draymond Green,Golden State Warriors
2015 Flawless Extras,39,Draymond Green,Golden State Warriors
2015 Flawless Extras,40,Draymond Green,Golden State Warriors
2015 Flawless Extras,41,Draymond Green,Golden State Warriors
2015 Flawless Extras,42,Draymond Green,Golden State Warriors
2015 Flawless Extras,43,Draymond Green,Golden State Warriors
2015 Flawless Extras,44,Draymond Green,Golden State Warriors
2015 Flawless Extras,46,Draymond Green,Golden State Warriors
2015 Flawless Extras,48,Draymond Green,Golden State Warriors
2015 Flawless Extras,50,Draymond Green,Golden State Warriors
2015 Flawless Extras,51,Draymond Green,Golden State Warriors
2015 Flawless Extras,52,Draymond Green,Golden State Warriors
2015 Flawless Extras,53,Draymond Green,Golden State Warriors
2015 Flawless Extras,54,Draymond Green,Golden State Warriors
2015 Flawless Extras,55,Draymond Green,Golden State Warriors
2015 Flawless Extras,56,Draymond Green,Golden State Warriors
2015 Flawless Extras,57,Draymond Green,Golden State Warriors
2015 Flawless Extras,58,Draymond Green,Golden State Warriors
2015 Flawless Extras,59,Draymond Green,Golden State Warriors
2015 Flawless Extras,60,Draymond Green,Golden State Warriors
2015 Flawless Extras,61,Draymond Green,Golden State Warriors
2015 Flawless Extras,62,Draymond Green,Golden State Warriors
2015 Flawless Extras,63,Draymond Green,Golden State Warriors
2015 Flawless Extras,64,Draymond Green,Golden State Warriors
2015 Flawless Extras,65,Draymond Green,Golden State Warriors
2015 Flawless Extras,66,Draymond Green,Golden State Warriors
2015 Flawless Extras,67,Draymond Green,Golden State Warriors
2015 Flawless Extras,68,Draymond Green,Golden State Warriors
2015 Flawless Extras,69,Draymond Green,Golden State Warriors
2015 Flawless Extras,72,Draymond Green,Golden State Warriors
2015 Flawless Extras,73,Draymond Green,Golden State Warriors
2015 Flawless Extras,74,Draymond Green,Golden State Warriors
2015 Flawless Extras,75,Draymond Green,Golden State Warriors
2015 Flawless Extras,76,Draymond Green,Golden State Warriors
2015 Flawless Extras,77,Draymond Green,Golden State Warriors
2015 Flawless Extras,78,Goran Dragic,Miami Heat
2015 Flawless Extras,79,Goran Dragic,Miami Heat
2015 Flawless Extras,80,Goran Dragic,Miami Heat
2015 Flawless Extras,81,Goran Dragic,Miami Heat
2015 Flawless Extras,82,Goran Dragic,Miami Heat
2015 Flawless Extras,83,Goran Dragic,Miami Heat
2015 Flawless Extras,84,Goran Dragic,Miami Heat
2015 Flawless Extras,85,Goran Dragic,Miami Heat
2015 Flawless Extras,86,Goran Dragic,Miami Heat
2015 Flawless Extras,87,Goran Dragic,Miami Heat
2015 Flawless Extras,88,Goran Dragic,Miami Heat
2015 Flawless Extras,89,Goran Dragic,Miami Heat
2015 Flawless Extras,90,Goran Dragic,Miami Heat
2015 Flawless Extras,91,Goran Dragic,Miami Heat
2015 Flawless Extras,92,Goran Dragic,Miami Heat
2015 Flawless Extras,93,Goran Dragic,Miami Heat
2015 Flawless Extras,94,Goran Dragic,Miami Heat
2015 Flawless Extras,95,Goran Dragic,Miami Heat
2015 Flawless Extras,96,Goran Dragic,Miami Heat
2015 Flawless Extras,97,Goran Dragic,Miami Heat
2015 Flawless Extras,98,Goran Dragic,Miami Heat
2015 Flawless Extras,99,Goran Dragic,Miami Heat
2015 Flawless Extras,100,Goran Dragic,Miami Heat
2015 Flawless Extras,101,Goran Dragic,Miami Heat
2015 Flawless Extras,102,Goran Dragic,Miami Heat
2015 Flawless Extras,103,Goran Dragic,Miami Heat
2015 Flawless Extras,104,Goran Dragic,Miami Heat
2015 Flawless Extras,105,Goran Dragic,Miami Heat
2015 Flawless Extras,107,Kenny Smith,Atlanta Hawks
2015 Flawless Extras,108,Kenny Smith,Atlanta Hawks
2015 Flawless Extras,109,Kenny Smith,Atlanta Hawks
2015 Flawless Extras,110,Kenny Smith,Atlanta Hawks
2015 Flawless Extras,111,Kenny Smith,Atlanta Hawks
2015 Flawless Extras,112,Khris Middleton,Milwaukee Bucks
2015 Flawless Extras,115,Marcin Gortat,Washington Wizards
2015 Flawless Extras,116,Marcin Gortat,Washington Wizards
2015 Flawless Extras,117,Marcin Gortat,Washington Wizards
2015 Flawless Extras,118,Marcin Gortat,Washington Wizards
2015 Flawless Extras,119,Marcin Gortat,Washington Wizards
2015 Flawless Extras,120,Marcin Gortat,Washington Wizards
2015 Flawless Extras,121,Marcin Gortat,Washington Wizards
2015 Flawless Extras,122,Marcin Gortat,Washington Wizards
2015 Flawless Extras,123,Marcin Gortat,Washington Wizards
2015 Flawless Extras,124,Marcin Gortat,Washington Wizards
2015 Flawless Extras,125,Marcin Gortat,Washington Wizards
2015 Flawless Extras,126,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,127,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,128,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,129,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,130,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,131,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,132,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,133,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,134,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,135,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,136,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,137,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,138,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,139,Nicolas Batum,Charlotte Hornets
2015 Flawless Extras,140,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,141,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,142,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,143,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,144,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,145,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,146,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,147,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,148,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,149,Nikola Vucevic,Orlando Magic
2015 Flawless Extras,150,Pau Gasol,San Antonio Spurs
2015 Flawless Extras,151,Rudy Gay,Sacramento Kings
2015 Flawless Extras,152,Rudy Gay,Sacramento Kings
2015 Flawless Extras,153,Rudy Gay,Sacramento Kings
2015 Flawless Extras,154,Rudy Gay,Sacramento Kings
2015 Flawless Extras,155,Rudy Gay,Sacramento Kings
2015 Flawless Extras,156,Rudy Gay,Sacramento Kings
2015 Flawless Extras,157,Rudy Gay,Sacramento Kings
2015 Flawless Extras,158,Rudy Gay,Sacramento Kings
2015 Flawless Extras,159,Rudy Gay,Sacramento Kings
2015 Flawless Extras,160,Rudy Gay,Sacramento Kings
2015 Flawless Extras,161,Tony Parker,San Antonio Spurs
2015 Flawless Extras,162,Tony Parker,San Antonio Spurs
2015 Flawless Extras,163,Tony Parker,San Antonio Spurs
2015 Flawless Extras,164,Tony Parker,San Antonio Spurs
2015 Flawless Extras,165,Tony Parker,San Antonio Spurs
2015 Flawless Extras,166,Tony Parker,San Antonio Spurs
2015 Flawless Extras,167,Tony Parker,San Antonio Spurs
2015 Flawless Extras,168,Tony Parker,San Antonio Spurs
2015 Flawless Extras,169,Tony Parker,San Antonio Spurs
2015 Flawless Extras,170,Tony Parker,San Antonio Spurs
Base Set,1,Kobe Bryant,Los Angeles Lakers
Base Set,2,Shaquille O'Neal,Orlando Magic
Base Set,3,Larry Bird,Boston Celtics
Base Set,4,Andrew Wiggins,Minnesota Timberwolves
Base Set,5,Anthony Davis,New Orleans Pelicans
Base Set,6,Ben Simmons,Philadelphia 76ers
Base Set,7,Blake Griffin,Los Angeles Clippers
Base Set,8,Bradley Beal,Washington Wizards
Base Set,9,Brandon Ingram,Los Angeles Lakers
Base Set,10,Magic Johnson,Los Angeles Lakers
Base Set,11,Buddy Hield,Sacramento Kings
Base Set,12,C.J. McCollum,Portland Trail Blazers
Base Set,13,Wilt Chamberlain,Philadelphia 76ers
Base Set,14,Carmelo Anthony,New York Knicks
Base Set,15,Chris Paul,Los Angeles Clippers
Base Set,16,Damian Lillard,Portland Trail Blazers
Base Set,17,D'Angelo Russell,Los Angeles Lakers
Base Set,18,Kareem Abdul-Jabbar,Los Angeles Lakers
Base Set,19,Dario Saric,Philadelphia 76ers
Base Set,20,Bill Russell,Boston Celtics
Base Set,21,DeMar DeRozan,Toronto Raptors
Base Set,22,DeMarcus Cousins,New Orleans Pelicans
Base Set,23,Tim Duncan,San Antonio Spurs
